,Product,Price,Rating,No. of Ratings,No. of Reviews,images
88,"APPLE iPhone 12 Pro (Gold, 512 GB)",105999,4.5,1246,92,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/9/w/apple-iphone-12-pro-dummyapplefsn-original-imafwgbrnpyygbv9.jpeg?q=70
89,"APPLE iPhone 13 mini (Pink, 512 GB)",79990,4.5,3044,265,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/u/p/8/iphone-13-mini-mlk23hn-a-apple-original-imag6vp6btm5zacs.jpeg?q=70
90,"APPLE iPhone 13 Pro Max (Graphite, 512 GB)",134999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/3/e/o/iphone-13-pro-max-mll63hn-a-apple-original-imag6vpgwfgxdsj6.jpeg?q=70
91,"APPLE iPhone 13 (Pink, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70
92,"APPLE iPhone 13 (Starlight, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70
93,"APPLE iPhone 14 Plus (Blue, 512 GB)",105999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70
94,"APPLE iPhone 14 Pro (Space Black, 512 GB)",152999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/l/p/-original-imaghxemc3wtcuhb.jpeg?q=70
95,"APPLE iPhone 14 Pro (Gold, 512 GB)",152999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/i/h/c/-original-imaghxemmqyahnuj.jpeg?q=70
96,"APPLE iPhone 14 Pro (Silver, 512 GB)",152999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/r/e/-original-imaghxeeme2n7hy7.jpeg?q=70
97,"APPLE iPhone 14 Pro Max (Space Black, 1 TB)",182999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/f/p/-original-imaghxenhnpyhn5u.jpeg?q=70
98,"APPLE iPhone 12 (Red, 256 GB)",66999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8dbzv8vh7t.jpeg?q=70
99,"APPLE iPhone 13 Pro Max (Gold, 1 TB)",155999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/v/c/iphone-13-pro-max-mllh3hn-a-apple-original-imag6vpgpycue85h.jpeg?q=70
100,"APPLE iPhone 14 (Blue, 512 GB)",96999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
101,"APPLE iPhone 12 (Red, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8dbzv8vh7t.jpeg?q=70
102,"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)",139900,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/2/g/r/-original-imagca5kqvhuscnv.jpeg?q=70
103,"APPLE iPhone 12 Pro (Gold, 256 GB)",88199,4.5,1246,92,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/9/w/apple-iphone-12-pro-dummyapplefsn-original-imafwgbrnpyygbv9.jpeg?q=70
